MLV_ID,Nombre,Precio_Numerico,Score,Opiniones,Ventas_Estimadas,Visitas_10dias,EnvioGratis,Vendedor_Nombre,Vendedor_Estatus,Vendedor_Seguidores,Vendedor_Productos,Vendedor_Ventas,Vendedor_Recomendacion,Vendedor_AniosML,Vendedor_Link,Ubicacion_Tienda,Categoria,Subcategorias,Categorias,Marca,Modelo,Especificaciones,Imagen,Link_Producto,Google_Breakout_Vendedor,DeepExtracted,Synced_At
MLV702250939,Impresora Hp M 111 W Laser Monocromarica Toner Wifi Usb 111w Blanco,179.99,4.9,416,1000,0,Sí,Pendiente,Pendiente,1100,100,10000,100,21,https://www.mercadolibre.com.ve/pagina/totaltecno,Pendiente,Computación,Impresión > Impresoras,N/A,N/A,N/A,N/A,https://http2.mlstatic.com/D_Q_NP_2X_631341-MLV92978105010_092025-E.webp,https://articulo.mercadolibre.com.ve/MLV-702250939-impresora-hp-m-111-w-laser-monocromarica-toner-wifi-usb-111w-blanco-_JM,,No,2026-08-16T23:30:23.046Z
MLV755885291,Ventilador De Pedestal Recargable 12 Pulgadas + Panel Solar 30.48 Cm Blanco Plástico 3,56.99,4.8,396,1000,0,Sí,LAS MEJORES OFERTAS PF,MercadoLíder Platinum,1200,100,10000,99,18,https://www.mercadolibre.com.ve/pagina/franklineltigre113376,"Punto Fijo, Falcón",Electrodomésticos,Climatización > Ventiladores,Electrodomésticos > Climatización > Ventiladores,Unisuki,EOA-1234,"Marca: Unisuki | Línea: Ventilador | Modelo: EOA-1234 | Voltaje: 110v-240v | Diámetro: 30,48 cm | Altura: 30,48 cm | Profundidad: 25 cm | Ancho: 38 cm | Peso: 3 kg | Con luz: Sí | Con función turbo: No | Tipo de ventilador: De pie | Tipo de alimentación: Corriente eléctrica | Cantidad de velocidades: 3 | Incluye control remoto: No | Color de la estructura: Blanco | Color de las aspas: Blanco | Material de las aspas: Plástico | Cantidad de aspas: 3 | Material de la rejilla: Plástico | Con aspas reversibles: No | Es turbo: No | Incluye control remoto: No | Cantidad de velocidades: 3",https://http2.mlstatic.com/D_NQ_NP_2X_874160-MLV105981767088_022026-F.webp,https://articulo.mercadolibre.com.ve/MLV-755885291-ventilador-de-pedestal-recargable-12-pulgadas-panel-solar-3048-cm-blanco-plastico-3-_JM,https://www.google.com/search?q=%22LAS%20MEJORES%20OFERTAS%20PF%22%20Venezuela%20Punto%20Fijo%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:01.945Z
MLV812774502,Tinta Epson 544 65ml Compatible L3210 L3250 L1210 L1250,6.8,4.9,509,1000,0,Sí,MCSUMINISTROS CARLOSRAMIREZ,MercadoLíder Platinum,2400,100,10000,100,10,https://www.mercadolibre.com.ve/pagina/mcsuministroscarlosramirez4552,"San Cristóbal,",Computación,Impresión > Insumos de Impresión > Recargas de Tinta,Computación > Impresión > Insumos de Impresión > Recargas de Tinta,Epson,544,Marca: Epson | Modelo: 544 | Volumen de la unidad: 65 mL | Formato de venta: Unidad | Tipo de tinta: Pigmentada,https://http2.mlstatic.com/D_NQ_NP_2X_792440-MLV110118339584_042026-F.webp,https://articulo.mercadolibre.com.ve/MLV-812774502-tinta-epson-544-65ml-compatible-l3210-l3250-l1210-l1250-_JM,https://www.google.com/search?q=%22MCSUMINISTROS%20CARLOSRAMIREZ%22%20Venezuela%20San%20Crist%C3%B3bal%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:12.757Z
MLV577501252,Caja De Resma De Papel Carta Marca Hp 500 Hojas Blanco,59,5,118,500,0,Sí,DISTRIBUIDORA HOP,MercadoLíder Platinum,830,100,5000,99,14,https://www.mercadolibre.com.ve/pagina/homeofficepaper6695,"Mun. Libertador (Sur), Distrito Capital","Arte, Papelería y Mercería",Papelería > Comercial y Oficina > Papeles para Impresión,"Arte, Papelería y Mercería > Papelería > Comercial y Oficina > Papeles para Impresión",HP,N/A,Marca: HP | Tamaño del papel: Carta | Tipo de papel: Bond | Color: Blanco | Cantidad de hojas: 500 | Formato de venta: Pack | Unidades por pack: 10 | Acabado: Mate,https://http2.mlstatic.com/D_NQ_NP_2X_817445-MLV96570097572_112025-F.webp,https://articulo.mercadolibre.com.ve/MLV-577501252-caja-de-resma-de-papel-carta-marca-hp-500-hojas-blanco-_JM,https://www.google.com/search?q=%22DISTRIBUIDORA%20HOP%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:50.960Z
MLV968538114,Tinta Epson 544 L3210 L3250 L1250 L5190 L3110 L3260 L1110,6.79,4.8,94,1000,0,Sí,INK TECNOLOGIA,MercadoLíder Platinum,610,100,5000,100,10,https://www.mercadolibre.com.ve/pagina/inktach,"San Cristóbal,",Computación,Impresión > Insumos de Impresión > Recargas de Tinta,Computación > Impresión > Insumos de Impresión > Recargas de Tinta,Epson,664,Marca: Epson | Modelo: 664 | Cantidad de packs: 1 | Volumen de la unidad: 65 L | Formato de venta: Unidad | Tipo de tinta: Pigmentada | Es apto para sublimación: No,https://http2.mlstatic.com/D_NQ_NP_2X_691092-MLV108199436157_032026-F.webp,https://articulo.mercadolibre.com.ve/MLV-968538114-tinta-epson-544-l3210-l3250-l1250-l5190-l3110-l3260-l1110-_JM,https://www.google.com/search?q=%22INK%20TECNOLOGIA%22%20Venezuela%20San%20Crist%C3%B3bal%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:13.214Z
MLV829907788,Camara De Seguridad Tapo C210 Tp-link Resolucion 2k 3mp Blanco,35.85,4.9,171,500,0,Sí,MCSUMINISTROS CARLOSRAMIREZ,MercadoLíder Platinum,2300,100,10000,100,10,https://www.mercadolibre.com.ve/pagina/mcsuministroscarlosramirez4552,"San Cristóbal,",Hogar y Muebles,Seguridad para el Hogar > Sistemas de Monitoreo > Cámaras de Seguridad,Hogar y Muebles > Seguridad para el Hogar > Sistemas de Monitoreo > Cámaras de Seguridad,TP-Link,Tapo C210,"Marca: TP-Link | Línea: Tapo Smart | Modelo: Tapo C210 | Color: Blanco | Tipo de resolución: 2K | Conectividad: Wi-Fi | Zoom óptico: 3x | Con sensor de movimiento: Sí | Con alarma: Sí | Es resistente al agua: No | Formato de venta: Unidad | Calidad de resolución: 3MP | Lugares de montaje: Montado en pared, Montaje en Superficie | Tipo de cámara de vigilancia: Domo | Campo visual: 360 | Tipo de movimiento: Pan and tilt | Locaciones de la cámara: Interior | Con visión nocturna: Sí | Tipos de conexiones: Wi-Fi | Con visión nocturna a color: No | Tipo de cámara: Domo | Con visión nocturna: Sí",https://http2.mlstatic.com/D_NQ_NP_2X_737652-MLV115795262109_082026-F.webp,https://articulo.mercadolibre.com.ve/MLV-829907788-camara-de-seguridad-tapo-c210-tp-link-resolucion-2k-3mp-blanco-_JM,https://www.google.com/search?q=%22MCSUMINISTROS%20CARLOSRAMIREZ%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:52.089Z
MLV771160483,Aceite 5w20 5w30 10w30 Semisintético Motorcraft Original,10.99,4.9,165,1000,0,Sí,Vendido por PARTS.ALL,MercadoLíder Platinum,N/A,50,5000,100,7,https://listado.mercadolibre.com.ve/_CustId_427657127,"Mun. Chacao (norte), Distrito Capital",Accesorios para Vehículos,Lubricantes y Fluidos > Autos y Camionetas > Aceites > Para Motor,Accesorios para Vehículos > Lubricantes y Fluidos > Autos y Camionetas > Aceites > Para Motor,Motorcraft,N/A,Marca: Motorcraft | Línea: Semisintético | Grado de viscosidad: 5W-20 | Volumen de la unidad: 946 mL | Volumen neto: 946 mL | Formato de venta: Unidad | Tipo de contenedor: Plástico | Modelo detallado: Motorcraft Synthetic Blend | Tipo de aceite de motor: Semi-sintético | Tipo de vehículo: Carro/Camioneta | Origen: Francia,https://http2.mlstatic.com/D_NQ_NP_2X_945262-MLV91611640290_092025-F.webp,https://articulo.mercadolibre.com.ve/MLV-771160483-aceite-5w20-5w30-10w30-semisintetico-motorcraft-original-_JM,https://www.google.com/search?q=%22Vendido%20por%20PARTS.ALL%22%20Venezuela%20Mun.%20Chacao%20(norte)%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:30:30.221Z
MLV758733967,Filtro Purificador De Agua 5 Etapas Blanco,64.34,4.8,209,500,0,Sí,INVERSIONESFERRECONOMICACOMP,N/A,1300,500,5000,99,3,https://www.mercadolibre.com.ve/pagina/inversionesferreconomicacomp,"Mun. Sucre (centro), Distrito Capital",Electrodomésticos,Dispensadores y Filtros > Filtros de Agua,Electrodomésticos > Dispensadores y Filtros > Filtros de Agua,Griven,FILTRO PURIFICADOR 5 ETAPAS,"Marca: Griven | Línea: Purificador | Modelo: FILTRO PURIFICADOR 5 ETAPAS | Modelo alfanumérico: A367-PR305 | Color: Blanco | Modelo detallado: FILTRO PURIFICADOR 5 ETAPAS | Material: CARBON ACTIVO GRANULADO,CARBON ACTIVO BLOQUE,POLIPROPILENO. | Cantidad de etapas: 5 | Con grifo: Sí | Es portátil: No",https://http2.mlstatic.com/D_NQ_NP_2X_935997-MLV112066297009_052026-F.webp,https://articulo.mercadolibre.com.ve/MLV-758733967-filtro-purificador-de-agua-5-etapas-blanco-_JM,https://www.google.com/search?q=%22INVERSIONESFERRECONOMICACOMP%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:54.545Z
MLV738415488,Recoge Espirales Prensa Espiral Compresor Aspirales.,11.8,4.9,468,1000,0,Sí,EMETECHNOLOGYS,MercadoLíder Platinum,1700,500,10000,99,4,https://www.mercadolibre.com.ve/pagina/emetechnologys,"Valencia (Valencia), Carabobo",Accesorios para Vehículos,Herramientas para Vehículos > Otros,Accesorios para Vehículos > Herramientas para Vehículos > Otros,CRV,Extractor,Marca: CRV | Modelo: Extractor,https://http2.mlstatic.com/D_NQ_NP_2X_883559-MLV75397697846_042024-F.webp,https://articulo.mercadolibre.com.ve/MLV-738415488-recoge-espirales-prensa-espiral-compresor-aspirales-_JM,https://www.google.com/search?q=%22EMETECHNOLOGYS%22%20Venezuela%20Valencia%20(Valencia)%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:18.346Z
MLV733333437,Base Para Aire Acondicionado De 8 Mil A 24 Mil Btu,12.87,5,232,500,0,Sí,Vendido por MACA93849,MercadoLíder Platinum,N/A,50,1000,99,5,https://listado.mercadolibre.com.ve/_CustId_692358899,"Mun. Libertador (Centro), Distrito Capital",Electrodomésticos,Climatización > Repuestos y Accesorios > Para Aires Acondicionados > Soportes para Aires,Electrodomésticos > Climatización > Repuestos y Accesorios > Para Aires Acondicionados > Soportes para Aires,Everwell,N/A,Marca: Everwell | Color: Blanco | Cantidad de pie amigos: 2 | Material: Acero inoxidable | Peso máximo soportado: 200 kg | Es abatible: Sí | Con gancho: Sí | Incluye kit de instalación: Sí | Uso recomendado: Aire acondicionado | Altura: 100 cm | Ancho: 50 cm | Profundidad: 35 cm,https://http2.mlstatic.com/D_NQ_NP_2X_694077-MLV106729149106_022026-F.webp,https://articulo.mercadolibre.com.ve/MLV-733333437-base-para-aire-acondicionado-de-8-mil-a-24-mil-btu-_JM,https://www.google.com/search?q=%22Vendido%20por%20MACA93849%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:55.527Z
