id,uuid,product_id,category_id,category_name,product_name,product_price,product_image,product_link,product_api_sold,product_web_sold,product_vists
136,cl9uh6hio0088upa0s2mip5ks,MLV466243071,MLV44011,"Recuerdos, Cotillón y Fiestas",Cotillones Tula Infantil Bolsos  Precio X 4 Unidades,4,http://http2.mlstatic.com/D_790031-MLV43066705823_082020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-466243071-cotillones-tula-infantil-bolsos-precio-x-4-unidades-_JM,5000,20653,134
50,cl9uh126t0032upa0t2panknd,MLV464486805,MLV1648,Computación,Toner Compatible Canon Crg-128 Para Mf4770 D550 Mf4450,9.75,http://http2.mlstatic.com/D_937011-MLV31748880096_082019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-464486805-toner-compatible-canon-crg-128-para-mf4770-d550-mf4450-_JM,5000,12048,288
26,cl9uh07ej001eupa07tx65dfz,MLV540098766,MLV445811,"Arte, Papelería y Mercería",Resma De Papel Carta Marca Hp 500 Hojas,5.6,http://http2.mlstatic.com/D_852718-MLV31253045079_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-540098766-resma-de-papel-carta-marca-hp-500-hojas-_JM,5000,9157,1157
103,cl9uh5h7n0068upa0x5xtavix,MLV465204524,MLV1246,Estética y Belleza,Labial Mate Mac Maquillaje Tienda Chacao,2,http://http2.mlstatic.com/D_677132-MLV46400096728_062021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-465204524-labial-mate-mac-maquillaje-tienda-chacao-_JM,5000,8347,282
49,cl9uh118l0030upa0zie4ov01,MLV464320791,MLV1648,Computación,Toner Compatible Hp Ce285a 85a Para P1102 P1102w M1132 M1212,9.75,http://http2.mlstatic.com/D_634194-MLV31748873708_082019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-464320791-toner-compatible-hp-ce285a-85a-para-p1102-p1102w-m1132-m1212-_JM,5000,7255,427
30,cl9uh0bum001mupa08rxtymb6,MLV481991253,MLV445811,"Arte, Papelería y Mercería",Tirro Cinta De Embalar 100 Mts Transparente Alta Resistencia,2,http://http2.mlstatic.com/D_920886-MLV49984065477_052022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-481991253-tirro-cinta-de-embalar-100-mts-transparente-alta-resistencia-_JM,5000,7077,158
60,cl9uh2t4l003oupa0nn2hofvn,MLV464504343,MLV1648,Computación,Toner Compatible Samsung 111s Mlt-d111s M2020 M2070  D111,13,http://http2.mlstatic.com/D_967149-MLV31247600096_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-464504343-toner-compatible-samsung-111s-mlt-d111s-m2020-m2070-d111-_JM,5000,6672,156
56,cl9uh2q6l003gupa08im1i1dt,MLV461492506,MLV1648,Computación,Toner Compatible Samsung 101 Mlt-d101s Ml-2165 Scx-3405 2160,13,http://http2.mlstatic.com/D_691164-MLV31720034539_082019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-461492506-toner-compatible-samsung-101-mlt-d101s-ml-2165-scx-3405-2160-_JM,5000,5818,222
121,cl9uh5zum007cupa0pg076g56,MLV465444174,MLV1499,Industrias,100 Laminas De Plastificar Carnet Cedula 175 Micrones 65x90,3.79,http://http2.mlstatic.com/D_748963-MLV45593031574_042021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-465444174-100-laminas-de-plastificar-carnet-cedula-175-micrones-65x90-_JM,5000,5239,200
58,cl9uh2rmk003kupa01u5ldyac,MLV464486812,MLV1648,Computación,Toner Compatible Hp Q2612a (12a) Para 1010 1012 1018 1020,9,http://http2.mlstatic.com/D_733938-MLV31748876747_082019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-464486812-toner-compatible-hp-q2612a-12a-para-1010-1012-1018-1020-_JM,5000,5224,176
55,cl9uh16zo003eupa01b8b03ve,MLV460871389,MLV1648,Computación,Cinta Compatible Epson 8750 Lx-300 Lx300 Fx-870 880 Ap300,2.4,http://http2.mlstatic.com/D_670921-MLV31247134939_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-460871389-cinta-compatible-epson-8750-lx-300-lx300-fx-870-880-ap300-_JM,500,4994,105
